id_bem,identifica,co_iphan,no_logrado,nu_logrado,id_naturez,ds_naturez,codigo_iph,id_classif,ds_classif,id_tipo_be,ds_tipo_be,sg_tipo_be,sintese_be,dt_cadastr
12886,Córrego Poção III,TO1702406BAST00015,Fazenda Gaúcho.,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12887,Córrego Poção II,TO1702406BAST00016,Fazenda Gaúcho.,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12888,Córrego Poção I,TO1702406BAST00017,Fazenda Gaúcho.,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12890,São Bento I,TO1702406BAST00019,São Bento,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12891,Juscelino II,TO1702406BAST00020,Barra do Dia,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
12892,Córrego Poção V,TO1702406BAST00021,Fazenda Gaúcho.,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
15833,Sitio Fazenda Macedônia 01,TO1703206BAST00001,Fazenda Macedônia,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
15956,Sítio Surubim 01,TO1707207BAST00002,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
15957,Sítio Primavera 01,TO1707207BAST00003,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
15958,Sítio Arqueológico Alegria 01,TO1707207BAST00004,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
15959,Sítio Arqueológico Santa Rita 01,TO1707207BAST00005,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
15960,Sítio Arqueológico Babaçu 01,TO1707207BAST00006,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
15961,Sítio Arqueológico Morrinho 01,TO1707207BAST00007,Fazenda Alegria,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
15962,Sítio Vale Verde 01,TO1707207BAST00008,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
15963,Toca do Gorgulho,TO1707207BAST00009,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
15967,Sítio Arqueológico Fazenda Babailônia 1,TO1707306BAST00001,Fazenda Babilônia,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
15968,Sítio 1072 1,TO1707306BAST00002,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
15969,Sítio Arqueológico Torre 10772,TO1707306BAST00003,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
15970,Sítio Arqueológico Fazenda Babilônnia 4,TO1707306BAST00004,Fazenda Babilônia,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
15971,Sítio Arqueológico Fazenda Babilônia 3,TO1707306BAST00005,Fazenda Babilônia,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
15972,Sítio Arqueológico Fazenda Babailônia 2,TO1707306BAST00006,Fazenda Babilônia,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
15973,Sítio ArqueológicoTorre 1069/2,TO1707306BAST00007,Rodovia TO 374,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
15974,Sítio Arqueologico Chácara Abraão,TO1707306BAST00008,Fazenda Babilônia,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
16020,Sítio Arqueológico V1-46,TO1711803BAST00001,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
16021,Sítio Arqueológico V1 45-B,TO1711803BAST00002,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
16058,Sítio Arqueológico Monte Santo 01,TO1713700BAST00001,Barrolândia,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
16103,Valadares,TO1715507BAST00002,Chácara dos Mangues,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
16111,Abrigo do Limpão,TO1721000BAST00022,"Zona Rural de Palmas, nas cercanias da Parque Estadual do Lajeado.",,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
16135,Sitio Arqueológico Bananal 01,TO1716653BAST00001,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
16142,Sítio Arqueológico Fazenda Fernanda 01,TO1717503BAST00001,Fazenda Fernanda,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
16258,Torre 1185 01,TO1720978BAST00001,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
16259,Camarguinho 01,TO1720978BAST00002,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
16260,Sítio ArqueológicoTalismã 01,TO1720978BAST00003,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
17300,pontra da serra 3,TO1721000BAST00081,vão água fria,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
17301,ponta da serra 4,TO1721000BAST00082,palmas,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
17357,Piauí,TO1718451BAST00002,Fazenda Canto Grande,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
17585,Sítio Arqueológico Macaúba 01,TO1707207BAST00010,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
17597,Sítio Histórico Ruínas da Chapada dos Negros,TO1702406BAST00022,Chapada dos Negros,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
17749,Combinado,TO1705557BAST00001,Avenida JK. Centro.,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
17880,NOVO PLANALTO,TO1710904BAST00003,fazenda Novo Planalto,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
17978,Balsa do Veredão,TO1716505BAST00004,Fazenda Veredão,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
17979,Veredão,TO1716505BAST00005,Fazenda Veredão,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
17980,Paulo Lemos,TO1716505BAST00006,Fazenda Veredão,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
17981,Da Cerca,TO1716505BAST00007,Fazenda Dois Irmãos,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
17982,Tabocão,TO1716505BAST00008,Fazenda Tabocão,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
18011,Carreira Comprida,TO1718758BAST00001,Chácara Carreira Comprida,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
18012,Barra do Prata,TO1718758BAST00002,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
18092,Vão do Gado,TO1709005BAST00008,Vão do Gado,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
18375,Sitio Arqueologico Historico de Mineração Serra de Natividade TO,TO1714203BAST00005,Serra de Natividade - TO,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
18443,SÍTIO PRÉ HISTÓRICO MORROS GERAIS II CAVERNA IV,TO1720937BAST00001,SERRA DE TAIPAS,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
19573,Sítio Arqueológico V2-4,TO1716653BAST00002,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
19628,ABRIGO DO SAL,MA2104057BAST00009,Fazenda Campo Alegre,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
29427,Flor de Goiás,TO1706258BAST00001,Fazenda Flor de Goiás,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"Flor de Goiás, localizado(a) no estado de Tocantins, cidade(s) de Crixás do Tocantins, é um Bem Arqueológico, do tipo Sítio.
Sítio cerâmico a céu aberto.",2020/07/29
29907,Quero-Quero 2,TO1700350BAST00005,Fazenda Quero-Quero,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"Quero-Quero 2, localizado(a) no estado de Tocantins, cidade(s) de Aliança do Tocantins, é um Bem Arqueológico, do tipo Sítio.
Sítio cerâmico a céu aberto.",2020/08/21
31092,Rio Mutum II,TO1712405BAST00002,não informado,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"Rio Mutum II, localizado(a) no estado de Tocantins, cidade(s) de Lizarda, é um Bem Arqueológico, do tipo Sítio.
Sítio unicomponencia localizado sobre morro com topo aplainado com vertentes convexo-concovas suaves, de baixa altimetria. Presença de materi",2020/11/04
31088,Rio Mutum I,TO1712405BAST00001,não informado,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"Rio Mutum I, localizado(a) no estado de Tocantins, cidade(s) de Lizarda, é um Bem Arqueológico, do tipo Sítio.
Sítio unicomponencial localizado sobre morro com topo aplainado, em área de relevo suave ondulado, vertentes curtas e declivosas, com presença",2020/11/04
31987,FDR 02,TO1711902BAST00002,Fazenda Dois Rios,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"FDR 02, localizado(a) no estado de Tocantins, cidade(s) de Lagoa da Confusão, é um Bem Arqueológico, do tipo Sítio.
Sítio cerâmico a céu aberto.",2020/12/16
31988,FDR 03,TO1711902BAST00003,Fazenda Dois Rios,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"FDR 03, localizado(a) no estado de Tocantins, cidade(s) de Lagoa da Confusão, é um Bem Arqueológico, do tipo Sítio.
Sítio cerâmico a céu aberto",2020/12/16
31992,FDR 06,TO1711902BAST00006,Fazenda Dois Rios,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"FDR 06, localizado(a) no estado de Tocantins, cidade(s) de Lagoa da Confusão, é um Bem Arqueológico, do tipo Sítio.
Sítio lito-cerâmico a céu aberto.",2020/12/16
31995,Barreira da Cruz,TO1717503BAST00014,Fazenda Dois Rios,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"Barreira da Cruz, localizado(a) no estado de Tocantins, cidade(s) de Pium, é um Bem Arqueológico, do tipo Sítio.
Sítio lito-cerâmico a céu aberto.",2020/12/16
31998,Fazenda Palmeiras,TO1711902BAST00007,Fazenda Palmeiras,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"Fazenda Palmeiras, localizado(a) no estado de Tocantins, cidade(s) de Lagoa da Confusão, é um Bem Arqueológico, do tipo Sítio.
Sítio cerâmico a céu aberto.",2020/12/16
31991,FDR 05,TO1711902BAST00005,Fazenda Dois Rios,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"FDR 05, localizado(a) no estado de Tocantins, cidade(s) de Lagoa da Confusão, é um Bem Arqueológico, do tipo Sítio.
Sítio cerâmico a céu aberto.",2020/12/16
31990,FDR 04,TO1711902BAST00004,Fazenda Dois Rios,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"FDR 04, localizado(a) no estado de Tocantins, cidade(s) de Lagoa da Confusão, é um Bem Arqueológico, do tipo Sítio.
Sítio lito-cerâmico a céu aberto.",2020/12/16
33754,Vermelhão,TO1720978BAST00004,,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"Vermelhão, localizado(a) no estado de Tocantins, cidade(s) de Talismã, é um Bem Arqueológico, do tipo Sítio.
Sítio arqueológico encontrado próximo à rodovia BR-153 em area areno argilosa com grande alteração antropica.",2021/08/05
32329,Serra do Capeta I,TO1712405BAST00003,,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"Sítio localizado entre o topo e meia encosta de chapada, caracterizado como sítio à céu aberto com presença d emateriais líticos em sílex",2021/01/28
32322,Sítio Arqueológico Fazenda Montanha,TO1718899BAST00002,,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"Sítio Arqueológico Fazenda Montanha, localizado(a) no estado de Tocantins, cidade(s) de Santa Rita do Tocantins, é um Bem Arqueológico, do tipo Sítio.",2021/01/27
32336,Serra do Capeta II,TO1712405BAST00004,,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"O sítio caracteriza-se como lítico-superficial, concentrado em área de colina e arredores até uma área plana com solo revolvido pela ação de arado mecânico, por convenção de atividades agrícolas anteriores. Área total de 21,63 hectares",2021/02/02
32631,Bela Vista,TO1709302BAST00006,,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,Sítio Lito-cerâmico pré-colonial implantado sobre baixa-encosta de colina alta,2021/03/14
32632,do Limão,TO1718204BAST00046,,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"Sítio cerâmico pré-colonial parcialmente impactado por construção de moradia, implantado sobre patamar baixo",2021/03/14
32639,Rebuliço,TO1718204BAST00047,,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,Sítio cerâmico pré-colonial parcialmente impactado por preparação do solo para plantio implantado sobre encosta de patamar,2021/03/14
32630,Serra Grande,TO1711100BAST00001,,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,Sítio cerâmico pré-colonial implantado sobre encosta de colina alta,2021/03/14
32447,Maranatha,TO1703701BAST00027,Fazenda Maranatha,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"Maranatha, localizado(a) no estado de Tocantins, cidade(s) de Brejinho de Nazaré, é um Bem Arqueológico, do tipo Sítio.
Sítio cerâmico a céu aberto",2021/02/22
32335,Ribeirão do Lajeado,TO1716505BAST00016,Fazenda Cana Brava,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"Sítio lito-cerâmico em baixa vertente com declividade suave. Material depositado em superfície e subsuperfície, com maior parte do material arqueológico entre 10 e 40 cm de profundidade.",2021/02/02
33356,Rio Vermelho 2,TO1715101BAST00002,,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"Rio Vermelho 2, localizado(a) no estado de Tocantins, cidade(s) de Novo Acordo, é um Bem Arqueológico, do tipo Sítio.
Sítio pré-colonial a céu aberto, composto por materiais líticos lascados dispersos sobre a superfície de uma área com 51x23 metros. Na",2021/06/22
33354,Rio Vermelho 1,TO1715101BAST00001,,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"Rio Vermelho 1, localizado(a) no estado de Tocantins, cidade(s) de Novo Acordo, é um Bem Arqueológico, do tipo Sítio.
Sítio pré-colonial a céu aberto, composto por materiais líticos lascados dispersos sobre a superfície de uma área com 20x20 metros. Na",2021/06/22
33554,Ruinas do Padre Gama 1,TO1713601BAST00001,,,3,Bem Arqueológico,BA,40,Histórico,4,Sítio,ST,"Sediado no sopé da Serra do Carmo, As Ruinas do Padre Gama é um conjunto estruturas formando um grande complexo de garimpo por volta de 1780 com a chegada do Padre Gama.",2021/07/13
33555,Ruinas do Padre Gama 2,TO1713601BAST00002,,,3,Bem Arqueológico,BA,40,Histórico,4,Sítio,ST,"Sediado no sopé da Serra do Carmo, As Ruinas do Padre Gama é um conjunto estruturas formando um grande complexo de garimpo por volta de 1780 com a chegada do Padre Gama.",2021/07/13
33556,Ruinas do Padre Gama 3,TO1713601BAST00003,,,3,Bem Arqueológico,BA,40,Histórico,4,Sítio,ST,"Sediado no sopé da Serra do Carmo, As Ruinas do Padre Gama é um conjunto estruturas formando um grande complexo de garimpo por volta de 1780 com a chegada do Padre Gama.",2021/07/13
33755,Vaca Branca,TO1700350BAST00006,,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"Vaca Branca, localizado(a) no estado de Tocantins, cidade(s) de Aliança do Tocantins, é um Bem Arqueológico, do tipo Sítio.
O sítio apresenta material cerâmico em superficie, em meio a brachiaria, na margem esquerda da rodovia sentido norte, junto a pla",2021/08/05
12188,Até Ver I,TO1713205BAST00005,Fazenda Trindade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
17983,José Pontes,TO1716505BAST00009,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
17984,Vazante do Bananal,TO1716505BAST00010,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
17985,Fortaleza,TO1716505BAST00011,Fazenda Buritirana,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
23484,Fazenda Andradina,TO1707702BAST00019,"-",,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"Oficina lítica. Para a produção dos artefatos líticos as comunidades pré-históricas utilizaram como matéria-prima árvores petrificadas (fósseis vegetais). Logo, trata-se de um sítio tanto paleontológico quanto arqueológico",2019/08/20
12189,ATÉ VER II,TO1713205BAST00006,Fazenda Trindade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
31986,FDR 01,TO1711902BAST00001,Fazenda Dois Rios,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"Mesa Portátil Para Cadeira De Praia, localizado(a) no estado de Tocantins, cidade(s) de Lagoa da Confusão, é um Bem Arqueológico, do tipo Sítio.
Sítio cerâmico a céu aberto.",2020/12/16
23483,Fazenda Buritirana,TO1707702BAST00018,"-",,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"Oficina lítica. Para a produção dos artefatos líticos as comunidades pré-históricas
utilizaram como matéria-prima árvores petrificadas (fósseis vegetais). Logo, trata-se de um sítio tanto paleontológico quanto arqueológico",2019/08/20
24316,Sítio Arqueológico Cachoeira 01,TO1712009BAST00082,Estrada vicinal que margeia o Rio Lajeado,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"Sítio Arqueológico Cachoeira 01, localizado(a) no estado de Tocantins, cidade(s) de Lajeado, é um Bem Arqueológico, do tipo Sítio, com estado de conservação Ruim e de preservação Muito Alterado.
Locallizado junto a área destinada a construção da Torre 3",2019/10/16
24174,Filadélfia I,TO1707702BAST00020,Grota da Areia,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"Filadélfia I, localizado(a) no estado de Tocantins, cidade(s) de Filadélfia, é um Bem Arqueológico, do tipo Sítio, com estado de conservação Regular e de preservação Pouco Alterado.
Sítio arqueológico caracterizado pela presença de registros rupestres g",2019/10/09
24319,SÍTIO ARQUEOLÓGICO VENEZA 01,TO1721000BAST00094,estrutura de fazenda,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"SÍTIO ARQUEOLÓGICO VENEZA 01, localizado(a) no estado de Tocantins, cidade(s) de Palmas, é um Bem Arqueológico, do tipo Sítio, com estado de conservação Ruim e de preservação Muito Alterado.
Sítio Arqueológico Lito Cerâmico encontrado em decorrência dos",2019/10/16
24320,SÍTIO ARQUEOLÓGICO VENEZA 2,TO1721000BAST00095,estrutura de fazenda,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"SÍTIO ARQUEOLÓGICO VENEZA 2, localizado(a) no estado de Tocantins, cidade(s) de Palmas, é um Bem Arqueológico, do tipo Sítio, com estado de conservação Ruim e de preservação Pouco Alterado.
Sítio Arqueológico Lito Cerâmico encontrado em decorrência dos",2019/10/16
24322,SÍTIO ARQUEOLÓGICO TORRE 62,TO1721000BAST00096,Estrada Vicinal que dá acesso ao vale do Rio Lajeado,,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,"SÍTIO ARQUEOLÓGICO TORRE 62, localizado(a) no estado de Tocantins, cidade(s) de Palmas, é um Bem Arqueológico, do tipo Sítio, com estado de conservação Ruim e de preservação Muito Alterado.
Sítio Arqueológico constituído de vestígios de natureza lítica,",2019/10/16
24164,Paredão,TO1721000BAST00093,"-",,3,Bem Arqueológico,BA,41,Pré-colonial,4,Sítio,ST,Sítio caracterizado pela presença de registros rupestres pintados.,2019/10/09
7385,Ponta da Serra 1,TO1721000BAST00001,"Serra do Lajeado, paredão com vista para Palmas",,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
7388,Sítio do Pinga lll,TO1700301BAST00001,Sem localidade,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
7389,Sítio Grota Seca ll,TO1700301BAST00002,Fazenda Prainha,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
7416,Sítio Campo Alegre l,TO1706506BAST00001,Fazenda Ariri,,3,Bem Arqueológico,BA,286,Sem classificação,4,Sítio,ST,,2019/05/10
